ID,NAME,TYPE,ADDRESS,KREIS,INSTAGRAM,WEBSITE
63,Stiftung BINZ39,OFFSPACE,Sihlquai 133,KREIS_5,https://www.instagram.com/stiftungbinz39,https://www.binz39.ch
64,TABLEAU ZURICH,POP_UP_GALLERY,Stadelhoferstrasse 28,KREIS_1,https://www.instagram.com/tableau.zurich,http://tableauzurich.org
65,Toxi,OFFSPACE,Zimmerlistrasse 4,KREIS_4,https://www.instagram.com/toxi_space,http://www.toxi.space
66,Warenlift,OFFSPACE,Bändlistrasse 29,KREIS_9,https://www.instagram.com/warenlift,https://warenlift.net
67,Wartsaal Wipkingen,OFFSPACE,Dammstrasse 54,KREIS_10,https://www.instagram.com/wartsaalw,https://www.wartsaal-wipkingen.ch
68,Window of Fame,OFFSPACE,Weststrasse 136,KREIS_3,https://www.instagram.com/window.of.fame,https://www.window-of-fame.ch
69,Zentralwäscherei,OFFSPACE,Neue Hard 12,KREIS_5,https://www.instagram.com/zentralwaescherei,https://zentralwaescherei.space
70,Anggrek Agency,CONCEPT,Turbinenstrasse 46,KREIS_5,https://www.instagram.com/anggrek.agency,https://anggrek.agency
71,Kunsthaus Zürich,MUSEUM,Heimplatz,KREIS_1,https://www.instagram.com/kunsthauszuerich,https://www.kunsthaus.ch
72,Landesmuseum Zürich,MUSEUM,Museumstrasse 2,KREIS_1,https://www.instagram.com/landesmuseumzurich,https://www.landesmuseum.ch
73,Museum für Gestaltung – Ausstellungsstrasse,MUSEUM,Ausstellungsstrasse 60,KREIS_5,https://www.instagram.com/museumgestaltung,https://museum-gestaltung.ch
74,Pavillon Le Corbusier,MUSEUM,Höschgasse 8,KREIS_8,https://www.instagram.com/pavillonlecorbusier,https://pavillon-le-corbusier.ch
75,Migros Museum of Contemporary Art,MUSEUM,Limmatstrasse 270,KREIS_5,https://www.instagram.com/migrosmuseum,https://migrosmuseum.ch
76,Museum Rietberg,MUSEUM,Gablerstrasse 15,KREIS_2,https://www.instagram.com/museumrietberg,https://rietberg.ch
77,Zurich Museum Haus Konstruktiv,MUSEUM,Selnaustrasse 25,KREIS_1,https://www.instagram.com/hauskonstruktiv,https://www.hauskonstruktiv.ch
78,Kunsthalle Zürich,MUSEUM,Limmatstrasse 270,KREIS_5,https://www.instagram.com/kunsthallezurich,https://www.kunsthallezurich.ch
79,Helmhaus Zürich,MUSEUM,Limmatquai 31,KREIS_1,https://www.instagram.com/helmhaus_zuerich,https://helmhaus.org
80,Musée Visionnaire,MUSEUM,Predigerplatz 10,KREIS_1,https://www.instagram.com/museevisionnaire,https://www.museevisionnaire.ch
81,Shedhalle,OFFSPACE,Seestrasse 39,KREIS_2,https://www.instagram.com/shedhalle,https://shedhalle.ch
82,a publik,GALLERY,Geroldstrasse 11,KREIS_5,https://www.instagram.com/apublikgallery,https://www.apublik.com
83,Gallery Alexander E. Räber,GALLERY,Oberdorfstrasse 21,KREIS_1,https://www.instagram.com/galerie.raeber,https://galerie-raeber.ch
84,Petra Gut Contemporary,GALLERY,Nüschelerstrasse 31,KREIS_1,https://www.instagram.com/petragutcontemporary,https://petragut.com
85,Galerie Francesca Pia,GALLERY,Limmatstrasse 270,KREIS_5,https://www.instagram.com/galerie_francescapia,https://www.francescapia.com
86,Artigall,GALLERY,In der Ey 37,KREIS_9,https://www.instagram.com/artigall_,https://www.artigall.ch
87,Lange & Pult,GALLERY,Rämistrasse 27,KREIS_1,https://www.instagram.com/galerielangepult,https://langepult.com
88,Galerie Haas Zürich,GALLERY,Rämistrasse 35,KREIS_1,https://www.instagram.com/galeriehaaszurich,https://galleryhaasag.com
89,Coin Coin,CAFE,Ernst-Nobs-Platz 1,KREIS_4,https://www.instagram.com/coincoin.zuerich,https://linktr.ee/coincoin.zuerich
